comunidades autónomas, tipología penal y periodos;Enero-septiembre 2019;Enero-septiembre 2020;Variación % 2020/2019
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1.181;1.059;-10,3
    7.1.-Robos con fuerza en domicilios;754;663;-12,1
    8.-Hurtos;3.747;2.513;-32,9
    9.-Sustracciones de vehículos;90;87;-3,3
    10.-Tráfico de drogas;67;78;16,4
    Resto de infracciones penales;8.171;8.397;2,8
    TOTAL INFRACCIONES PENALES;13.708;12.530;-8,6
CASTILLA Y LEÓN;;;
    1.-Homicidios dolosos y asesinatos consumados;7;15;114,3
    2.-Homicidios dolosos y asesinatos en grado tentativa;25;23;-8,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;553;427;-22,8
    4.-Secuestro;2;1;-50,0
    5.-Delitos contra la libertad e indemnidad sexual;386;294;-23,8
    5.1.-Agresión sexual con penetración;34;29;-14,7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;352;265;-24,7
    6.-Robos con violencia e intimidación;503;398;-20,9
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;3.525;2.526;-28,3
    7.1.-Robos con fuerza en domicilios;2.206;1.597;-27,6
    8.-Hurtos;14.104;8.392;-40,5
    9.-Sustracciones de vehículos;418;310;-25,8
    10.-Tráfico de drogas;337;370;9,8
    Resto de infracciones penales;36.696;34.718;-5,4
    TOTAL INFRACCIONES PENALES;56.556;47.474;-16,1
CASTILLA - LA MANCHA;;;
    1.-Homicidios dolosos y asesinatos consumados;11;9;-18,2
    2.-Homicidios dolosos y asesinatos en grado tentativa;23;23;0,0
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;502;447;-11,0
    4.-Secuestro;0;4;100,0
    5.-Delitos contra la libertad e indemnidad sexual;404;333;-17,6
    5.1.-Agresión sexual con penetración;35;33;-5,7
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;369;300;-18,7
    6.-Robos con violencia e intimidación;764;571;-25,3
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;4.768;3.567;-25,2
    7.1.-Robos con fuerza en domicilios;3.469;2.630;-24,2
    8.-Hurtos;10.423;7.034;-32,5
    9.-Sustracciones de vehículos;458;407;-11,1
    10.-Tráfico de drogas;342;410;19,9
    Resto de infracciones penales;34.843;32.896;-5,6
