Delitos;Enero-marzo 2019;Enero-marzo 2020;Variación % 2020/2019;Comunidad Autonoma
    TOTAL INFRACCIONES PENALES;14640;14220;-2,9;BALEARS (ILLES)
CANARIAS;;;;
    1.-Homicidios dolosos y asesinatos consumados;4;5;25;CANARIAS
    2.-Homicidios dolosos y asesinatos en grado tentativa;7;11;57,1;CANARIAS
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;297;240;-19,2;CANARIAS
    4.-Secuestro;0;0;0;CANARIAS
    5.-Delitos contra la libertad e indemnidad sexual;228;231;1,3;CANARIAS
    5.1.-Agresión sexual con penetración;8;27;237,5;CANARIAS
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;220;204;-7,3;CANARIAS
    6.-Robos con violencia e intimidación;403;374;-7,2;CANARIAS
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;996;1037;4,1;CANARIAS
    7.1.-Robos con fuerza en domicilios;630;656;4,1;CANARIAS
    8.-Hurtos;7435;6694;-10;CANARIAS
    9.-Sustracciones de vehículos;331;339;2,4;CANARIAS
    10.-Tráfico de drogas;151;146;-3,3;CANARIAS
    Resto de infracciones penales;14124;14048;-0,5;CANARIAS
    TOTAL INFRACCIONES PENALES;23976;23125;-3,5;CANARIAS
CANTABRIA;;;;
    1.-Homicidios dolosos y asesinatos consumados;1;0;-100;CANTABRIA
    2.-Homicidios dolosos y asesinatos en grado tentativa;2;2;0;CANTABRIA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;60;70;16,7;CANTABRIA
    4.-Secuestro;0;0;0;CANTABRIA
    5.-Delitos contra la libertad e indemnidad sexual;26;18;-30,8;CANTABRIA
    5.1.-Agresión sexual con penetración;1;2;100;CANTABRIA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;25;16;-36;CANTABRIA
    6.-Robos con violencia e intimidación;56;60;7,1;CANTABRIA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;435;462;6,2;CANTABRIA
    7.1.-Robos con fuerza en domicilios;286;295;3,1;CANTABRIA
    8.-Hurtos;1102;911;-17,3;CANTABRIA
    9.-Sustracciones de vehículos;31;26;-16,1;CANTABRIA
    10.-Tráfico de drogas;24;31;29,2;CANTABRIA
    Resto de infracciones penales;2540;2617;3;CANTABRIA
    TOTAL INFRACCIONES PENALES;4277;4197;-1,9;CANTABRIA
CASTILLA Y LEÓN;;;;
    1.-Homicidios dolosos y asesinatos consumados;1;7;600;CASTILLA Y LEÓN
    2.-Homicidios dolosos y asesinatos en grado tentativa;4;6;50;CASTILLA Y LEÓN
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;171;149;-12,9;CASTILLA Y LEÓN
    4.-Secuestro;1;0;-100;CASTILLA Y LEÓN
    5.-Delitos contra la libertad e indemnidad sexual;135;91;-32,6;CASTILLA Y LEÓN
    5.1.-Agresión sexual con penetración;12;12;0;CASTILLA Y LEÓN
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;123;79;-35,8;CASTILLA Y LEÓN
    6.-Robos con violencia e intimidación;151;153;1,3;CASTILLA Y LEÓN
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1293;1110;-14,2;CASTILLA Y LEÓN
    7.1.-Robos con fuerza en domicilios;812;700;-13,8;CASTILLA Y LEÓN
    8.-Hurtos;4538;3594;-20,8;CASTILLA Y LEÓN
    9.-Sustracciones de vehículos;141;128;-9,2;CASTILLA Y LEÓN
    10.-Tráfico de drogas;80;76;-5;CASTILLA Y LEÓN
    Resto de infracciones penales;11511;11442;-0,6;CASTILLA Y LEÓN
    TOTAL INFRACCIONES PENALES;18026;16756;-7;CASTILLA Y LEÓN
CASTILLA - LA MANCHA;;;;
    1.-Homicidios dolosos y asesinatos consumados;5;4;-20;CASTILLA - LA MANCHA
    2.-Homicidios dolosos y asesinatos en grado tentativa;5;6;20;CASTILLA - LA MANCHA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;149;132;-11,4;CASTILLA - LA MANCHA
    4.-Secuestro;0;1;100;CASTILLA - LA MANCHA
    5.-Delitos contra la libertad e indemnidad sexual;125;95;-24;CASTILLA - LA MANCHA
    5.1.-Agresión sexual con penetración;10;7;-30;CASTILLA - LA MANCHA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;115;88;-23,5;CASTILLA - LA MANCHA
    6.-Robos con violencia e intimidación;233;217;-6,9;CASTILLA - LA MANCHA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1714;1490;-13,1;CASTILLA - LA MANCHA
    7.1.-Robos con fuerza en domicilios;1257;1033;-17,8;CASTILLA - LA MANCHA
    8.-Hurtos;3277;2932;-10,5;CASTILLA - LA MANCHA
    9.-Sustracciones de vehículos;167;166;-0,6;CASTILLA - LA MANCHA
    10.-Tráfico de drogas;91;86;-5,5;CASTILLA - LA MANCHA
    Resto de infracciones penales;11166;10649;-4,6;CASTILLA - LA MANCHA
    TOTAL INFRACCIONES PENALES;16932;15778;-6,8;CASTILLA - LA MANCHA
CATALUÑA;;;;
    1.-Homicidios dolosos y asesinatos consumados;9;12;33,3;CATALUÑA
    2.-Homicidios dolosos y asesinatos en grado tentativa;50;31;-38;CATALUÑA
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;753;599;-20,5;CATALUÑA
    4.-Secuestro;4;3;-25;CATALUÑA
    5.-Delitos contra la libertad e indemnidad sexual;726;696;-4,1;CATALUÑA
    5.1.-Agresión sexual con penetración;122;135;10,7;CATALUÑA
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;604;561;-7,1;CATALUÑA
    6.-Robos con violencia e intimidación;6164;6112;-0,8;CATALUÑA
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;8755;6809;-22,2;CATALUÑA
    7.1.-Robos con fuerza en domicilios;6048;4835;-20,1;CATALUÑA
    8.-Hurtos;45295;36011;-20,5;CATALUÑA
    9.-Sustracciones de vehículos;2452;1865;-23,9;CATALUÑA
    10.-Tráfico de drogas;662;663;0,2;CATALUÑA
